# t x1 y1 x2 y2 error_x error_y
0.0000000000 40.0000000000 9.0000000000 30.0000000000 12.0000000000 10.0000000000 3.0000000000
0.0100000000 40.0322477564 9.1376303012 29.9437513048 12.0885917945 10.0884964515 2.9509614934
0.0200000000 40.0589227056 9.2775221623 29.8850109224 12.1773486442 10.1739117833 2.8998264820
0.0300000000 40.0799239416 9.4196752840 29.8237884992 12.2662422763 10.2561354423 2.8465669924
0.0400000000 40.0951528396 9.5640869575 29.7600951444 12.3552438001 10.3350576951 2.7911568427
0.0500000000 40.1045132904 9.7107519448 29.6939434354 12.4443237218 10.4105698550 2.7335717770
0.0600000000 40.1079119396 9.8596623586 29.6253474228 12.5334519607 10.4825645168 2.6737896021
0.0700000000 40.1052584309 10.0108075420 29.5543226320 12.6225978666 10.5509357989 2.6117903247
0.0800000000 40.0964656545 10.1641739490 29.4808860644 12.7117302389 10.6155795902 2.5475562899
0.0900000000 40.0814499985 10.3197450261 29.4050561947 12.8008173459 10.6763938038 2.4810723198
0.1000000000 40.0601316028 10.4775010949 29.3268529679 12.8898269465 10.7332786349 2.4123258517
0.1100000000 40.0324346161 10.6374192373 29.2462977929 12.9787263129 10.7861368232 2.3413070756
0.1200000000 39.9982874528 10.7994731833 29.1634135344 13.0674822536 10.8348739184 2.2680090702
0.1300000000 39.9576230514 10.9636332018 29.0782245031 13.1560611390 10.8793985483 2.1924279372
0.1400000000 39.9103791320 11.1298659953 28.9907564431 13.2444289271 10.9196226889 2.1145629318
0.1500000000 39.8564984521 11.2981345996 28.9010365173 13.3325511910 10.9554619348 2.0344165914
0.1600000000 39.7959290601 11.4683982882 28.8090932913 13.4203931469 10.9868357688 1.9519948587
0.1700000000 39.7286245457 11.6406124827 28.7149567141 13.5079196838 11.0136678316 1.8673072011
0.1800000000 39.6545442842 11.8147286703 28.6186580975 13.5950953937 11.0358861868 1.7803667234
0.1900000000 39.5736536770 11.9906943279 28.5202300931 13.6818846034 11.0534235839 1.6911902755
0.2000000000 39.4859243831 12.1684528548 28.4197066675 13.7682514065 11.0662177156 1.5997985517
0.2100000000 39.3913345438 12.3479435141 28.3171230747 13.8541596968 11.0742114691 1.5062161826
0.2200000000 39.2898689972 12.5291013835 28.2125158276 13.9395732024 11.0773531696 1.4104718190
0.2300000000 39.1815194821 12.7118573160 28.1059226667 14.0244555208 11.0755968154 1.3125982048
0.2400000000 39.0662848304 12.8961379123 27.9973825272 14.1087701538 11.0689023032 1.2126322415
0.2500000000 38.9441711455 13.0818655042 27.8869355043 14.1924805445 11.0572356412 1.1106150404
0.2600000000 38.8151919668 13.2689581500 27.7746228167 14.2755501137 11.0405691502 1.0065919638
0.2700000000 38.6793684188 13.4573296436 27.6604867681 14.3579422972 11.0188816507 0.9006126536
0.2800000000 38.5367293423 13.6468895363 27.5445707076 14.4396205837 10.9921586347 0.7927310474
0.2900000000 38.3873114086 13.8375431726 27.4269189878 14.5205485528 10.9603924208 0.6830053802
0.3000000000 38.2311592142 14.0291917407 27.3075769223 14.6006899134 10.9235822919 0.5714981727
0.3100000000 38.0683253552 14.2217323376 27.1865907408 14.6800085425 10.8817346145 0.4582762048
0.3200000000 37.8988704811 14.4150580499 27.0640075436 14.7584685236 10.8348629375 0.3434104737
0.3300000000 37.7228633256 14.6090580487 26.9398752548 14.8360341860 10.7829880709 0.2269761373
0.3400000000 37.5403807159 14.8036177020 26.8142425738 14.9126701430 10.7261381421 0.1090524409
0.3500000000 37.3515075573 14.9986187016 26.6871589265 14.9883413310 10.6643486308 0.0102773706
0.3600000000 37.1563367942 15.1939392058 26.5586744150 15.0630130478 10.5976623791 0.1309261579
0.3700000000 36.9549693468 15.3894539985 26.4288397669 15.1366509908 10.5261295799 0.2528030076
0.3800000000 36.7475140225 15.5850346635 26.2977062835 15.2092212949 10.4498077390 0.3758133686
0.3900000000 36.5340874021 15.7805497741 26.1653257874 15.2806905698 10.3687616147 0.4998592043
0.4000000000 36.3148137010 15.9758650976 26.0317505701 15.3510259370 10.2830631309 0.6248391605
0.4100000000 36.0898246054 16.1708438142 25.8970333385 15.4201950663 10.1927912669 0.7506487479
0.4200000000 35.8592590831 16.3653467505 25.7612271613 15.4881662110 10.0980319217 0.8771805395
0.4300000000 35.6232631702 16.5592326252 25.6243854159 15.5549082432 9.9988777543 1.0043243820
0.4400000000 35.3819897336 16.7523583084 25.4865617339 15.6203906878 9.8954279997 1.1319676206
